seed,threshold,output_class_index,hcat_code,class_name,emitted_count,errors,empirical_risk,risk_upper,coverage_contribution,coverage_contribution_lower,risk_certified
2,0.85,4,3301010402,spring barley,378,26,0.06878306878306878,0.12427514318139211,0.03626943005181347,0.030319185325679787,False
2,0.85,5,3301010500,oats,15,1,0.06666666666666667,0.5166818797044664,0.0014392630972941854,0.0004951623042791509,False
2,0.85,6,3301010600,grain maize,58,1,0.017241379310344827,0.1671421204295122,0.00556515064287085,0.0034047087566236867,False
2,0.85,7,3301020100,beans,12,1,0.08333333333333333,0.6007613713273465,0.0011514104778353484,0.0003389362651199379,False
2,0.85,8,3301020600,peas,230,11,0.04782608695652174,0.11534006096766737,0.02206870082517751,0.0174702789054475,False
2,0.85,9,3301030000,potatoes,54,15,0.2777777777777778,0.5168413250801887,0.0051813471502590676,0.003107906173138719,False
2,0.85,10,3301060401,winter rapeseed,875,25,0.02857142857142857,0.05312264722325569,0.08395701400882748,0.07494388982420908,True
2,0.85,11,3301070000,fresh vegetables,4,2,0.5,0.9927480719738079,0.00038380349261178274,3.005592395455281e-05,False
2,0.85,12,3301090301,alfalfa,3,0,0.0,0.9321395595851273,0.0002878526194588371,1.2214166634993973e-05,False
2,0.85,13,3301090303,clover,352,42,0.11931818181818182,0.18860027289325546,0.03377470734983688,0.02803768918297267,False
2,0.85,14,3301110000,fallow land,3,2,0.6666666666666666,0.9998958224807547,0.0002878526194588371,1.2214166634993973e-05,False
2,0.85,15,3301150200,buckwheat,33,0,0.0,0.21696110647672395,0.0031663788140472078,0.0016150534710405173,False
2,0.9,0,3301010101,winter common soft wheat,1678,86,0.05125148986889154,0.07221243170564721,0.16100556515064288,0.14891124779012166,True
2,0.9,1,3301010102,spring common soft wheat,1,0,0.0,0.9996875,9.595087315294569e-05,2.998933346098909e-08,False
2,0.9,2,3301010300,rye,26,2,0.07692307692307693,0.39665863398127876,0.002494722701976588,0.0011533261016595242,False
2,0.9,3,3301010401,winter barley,232,12,0.05172413793103448,0.12041422533239092,0.0222606025714834,0.017641184057747172,False
